               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              4.1933,               8.434,               1.998,              0.2128,             0.16963,             0.11454,            0.036096,              3.1234,              3.0633,               1.542,            0.070079,           0.0033245,           0.0033245
                   1,                3.11,              2.4243,               1.378,             0.21536,             0.17442,             0.11839,            0.045229,               2.985,              3.4319,              1.4687,            0.040013,            0.006592,            0.006592
                   2,               2.758,              2.0809,              1.2654,             0.32757,             0.25696,             0.20766,            0.087019,               2.754,              3.2158,              1.3619,           0.0098813,           0.0097934,           0.0097934
                   3,              2.5419,              1.8296,              1.2141,             0.33093,             0.29127,                0.25,             0.12126,              2.5707,              3.0361,              1.3098,            0.009703,            0.009703,            0.009703
                   4,              2.3488,              1.5945,              1.1679,             0.39844,             0.29367,             0.27592,             0.12671,              2.6838,              3.1044,              1.3544,            0.009703,            0.009703,            0.009703
                   5,              2.2489,              1.4814,              1.1473,             0.36888,             0.27111,             0.23193,             0.11575,              2.6072,              3.1911,              1.3262,            0.009604,            0.009604,            0.009604
                   6,               2.131,              1.3641,                1.13,             0.46427,             0.27423,             0.27788,              0.1371,              2.4866,              3.4988,              1.3014,            0.009505,            0.009505,            0.009505
                   7,              2.0815,              1.2927,              1.1194,             0.44937,             0.24976,              0.2432,             0.12013,              2.5956,              3.8559,              1.3225,            0.009406,            0.009406,            0.009406
                   8,              2.0583,              1.2675,              1.1183,             0.37385,             0.21545,             0.20855,             0.10541,              2.6548,              3.9356,              1.3651,            0.009307,            0.009307,            0.009307
                   9,              1.9792,              1.1873,              1.1069,             0.49649,             0.18474,             0.24638,             0.11765,              2.6956,              4.2708,               1.356,            0.009208,            0.009208,            0.009208
                  10,              1.9378,              1.1356,              1.1013,             0.40522,             0.26607,              0.2585,             0.13991,              2.4141,              3.9297,              1.2908,            0.009109,            0.009109,            0.009109
                  11,              1.9088,              1.1168,               1.094,             0.45035,             0.27327,             0.27949,             0.14558,              2.4602,              3.8124,              1.3045,             0.00901,             0.00901,             0.00901
                  12,              1.8949,              1.0861,              1.0869,             0.47646,             0.23321,             0.26276,             0.14115,              2.5002,              4.1458,              1.3058,            0.008911,            0.008911,            0.008911
                  13,                1.85,              1.0566,              1.0859,             0.53222,             0.20309,             0.28297,             0.15571,              2.4082,              4.0322,              1.2832,            0.008812,            0.008812,            0.008812
